Date,Expiry Date,Call Last,Call Bid,Call Ask,Put Last,Put Bid,Put Ask,Strike Price,Underlying Price
 2023-01-03, 2023-01-13,54.7,45.25,45.6,0.01,0.01,0.02,80.0,125.01
 2023-01-03, 2023-01-13,0.0,40.2,40.5,0.02,0.01,0.03,85.0,125.01
 2023-01-03, 2023-01-13,0.0,35.25,35.6,0.02,0.02,0.03,90.0,125.01
 2023-01-03, 2023-01-13,0.0,30.2,30.55,0.05,0.03,0.05,95.0,125.01
 2023-01-03, 2023-01-13,24.55,25.35,25.6,0.07,0.07,0.08,100.0,125.01
 2023-01-03, 2023-01-13,0.0,24.35,24.55,0.1,0.08,0.09,101.0,125.01
 2023-01-03, 2023-01-13,23.1,23.4,23.6,0.1,0.09,0.1,102.0,125.01
 2023-01-03, 2023-01-13,22.0,22.4,22.6,0.11,0.1,0.11,103.0,125.01
 2023-01-03, 2023-01-13,21.15,21.45,21.7,0.17,0.12,0.13,104.0,125.01
 2023-01-03, 2023-01-13,25.5,20.4,20.65,0.13,0.13,0.14,105.0,125.01
 2023-01-03, 2023-01-13,0.0,19.45,19.75,0.19,0.16,0.17,106.0,125.01
 2023-01-03, 2023-01-13,0.0,18.45,18.65,0.19,0.19,0.21,107.0,125.01
 2023-01-03, 2023-01-13,17.25,17.5,17.8,0.26,0.23,0.24,108.0,125.01
 2023-01-03, 2023-01-13,0.0,16.55,16.8,0.27,0.27,0.28,109.0,125.01
 2023-01-03, 2023-01-13,15.4,15.65,15.85,0.32,0.32,0.33,110.0,125.01
 2023-01-03, 2023-01-13,14.25,14.65,14.85,0.38,0.38,0.39,111.0,125.01
 2023-01-03, 2023-01-13,0.0,13.7,14.05,0.45,0.45,0.46,112.0,125.01
 2023-01-03, 2023-01-13,12.5,12.75,13.05,0.52,0.54,0.56,113.0,125.01
 2023-01-03, 2023-01-13,12.35,11.95,12.15,0.65,0.65,0.66,114.0,125.01
 2023-01-03, 2023-01-13,10.65,11.05,11.2,0.77,0.77,0.79,115.0,125.01
